date,total_confirmed
2020-09-03,18177.0
2020-09-04,17964.0
2020-09-05,15894.0
2020-09-06,15157.0
2020-09-07,14699.0
2020-09-08,17910.0
2020-09-09,18165.0
2020-09-10,17440.0
2020-09-11,17408.0
2020-09-12,15279.0
2020-09-13,14761.0
2020-09-14,16517.0
2020-09-15,16546.0
2020-09-16,15919.0
2020-09-17,15931.0
2020-09-18,16029.0
2020-09-19,14059.0
2020-09-20,13274.0
2020-09-21,16403.0
2020-09-22,16250.0
2020-09-23,15771.0
2020-09-24,15152.0
2020-09-25,15106.0
2020-09-26,13497.0
2020-09-27,12811.0
2020-09-28,16063.0
2020-09-29,15968.0
2020-09-30,15611.0
2020-10-01,15601.0
2020-10-02,13563.0
2020-10-03,14210.0
2020-10-04,13498.0
2020-10-05,16881.0
2020-10-06,17559.0
2020-10-07,16560.0
2020-10-08,16471.0
2020-10-09,14795.0
2020-10-10,15499.0
2020-10-11,14204.0
2020-10-12,16103.0
2020-10-13,18876.0
2020-10-14,18176.0
2020-10-15,18103.0
2020-10-16,18442.0
2020-10-17,17273.0
2020-10-18,16575.0
2020-10-19,19554.0
2020-10-20,20489.0
2020-10-21,19919.0
2020-10-22,19027.0
2020-10-23,20872.0
2020-10-24,19595.0
2020-10-25,18377.0
2020-10-26,21722.0
2020-10-27,23118.0
2020-10-28,23573.0
2020-10-29,23662.0
2020-10-30,23601.0
2020-10-31,21584.0
2020-11-01,20852.0
2020-11-02,23161.0
2020-11-03,26760.0
2020-11-04,26965.0
2020-11-05,26479.0
2020-11-06,27363.0
2020-11-07,25804.0
2020-11-08,23947.0
2020-11-09,28594.0
2020-11-10,30974.0
2020-11-11,32071.0
2020-11-12,31531.0
2020-11-13,32734.0
2020-11-14,31401.0
2020-11-15,30341.0
2020-11-16,34159.0
2020-11-17,36681.0
2020-11-18,37046.0
2020-11-19,37166.0
2020-11-20,37807.0
2020-11-21,36631.0
2020-11-22,34497.0
2020-11-23,39951.0
2020-11-24,39564.0
2020-11-25,42163.0
2020-11-26,41477.0
2020-11-27,40038.0
2020-11-28,40967.0
2020-11-29,39940.0
2020-11-30,43510.0
2020-12-01,45289.0
2020-12-02,44780.0
2020-12-03,45172.0
2020-12-04,45138.0
2020-12-05,43607.0
2020-12-06,40088.0
2020-12-07,45487.0
2020-12-08,47641.0
2020-12-09,44743.0
2020-12-10,49219.0
2020-12-11,49014.0
2020-12-12,46252.0
2020-12-13,46102.0
2020-12-14,45744.0
2020-12-15,48883.0
2020-12-16,48701.0
2020-12-17,48259.0
2020-12-18,48328.0
2020-12-19,48263.0
2020-12-20,47190.0
2020-12-21,49481.0
2020-12-22,52358.0
