date,total_confirmed
2020-08-22,254534.0
2020-08-23,209268.0
2020-08-24,231351.0
2020-08-25,285622.0
2020-08-26,246933.0
2020-08-27,290633.0
2020-08-28,294152.0
2020-08-29,264634.0
2020-08-30,212606.0
2020-08-31,271243.0
2020-09-01,287079.0
2020-09-02,301090.0
2020-09-03,298172.0
2020-09-04,325741.0
2020-09-05,263381.0
2020-09-06,218437.0
2020-09-07,240747.0
2020-09-08,270845.0
2020-09-09,306205.0
2020-09-10,309906.0
2020-09-11,322025.0
2020-09-12,290579.0
2020-09-13,233682.0
2020-09-14,267815.0
2020-09-15,307990.0
2020-09-16,320403.0
2020-09-17,322746.0
2020-09-18,335366.0
2020-09-19,290702.0
2020-09-20,233868.0
2020-09-21,273513.0
2020-09-22,320496.0
2020-09-23,324009.0
2020-09-24,328469.0
2020-09-25,329347.0
2020-09-26,289334.0
2020-09-27,236032.0
2020-09-28,272983.0
2020-09-29,320068.0
2020-09-30,332663.0
2020-10-01,334173.0
2020-10-02,333795.0
2020-10-03,300850.0
2020-10-04,247056.0
2020-10-05,289685.0
2020-10-06,350162.0
2020-10-07,358573.0
2020-10-08,369183.0
2020-10-09,370959.0
2020-10-10,334818.0
2020-10-11,280589.0
2020-10-12,305572.0
2020-10-13,354996.0
2020-10-14,395053.0
2020-10-15,415158.0
2020-10-16,415585.0
2020-10-17,365685.0
2020-10-18,313658.0
2020-10-19,387283.0
2020-10-20,425699.0
2020-10-21,461439.0
2020-10-22,482224.0
2020-10-23,486145.0
2020-10-24,437359.0
2020-10-25,380358.0
2020-10-26,449427.0
2020-10-27,506536.0
2020-10-28,529152.0
2020-10-29,542206.0
2020-10-30,544976.0
2020-10-31,465264.0
2020-11-01,418056.0
2020-11-02,499422.0
2020-11-03,546288.0
2020-11-04,577530.0
2020-11-05,617203.0
2020-11-06,576561.0
2020-11-07,586904.0
2020-11-08,472955.0
2020-11-09,528292.0
2020-11-10,598863.0
2020-11-11,643176.0
2020-11-12,637579.0
2020-11-13,627752.0
2020-11-14,564096.0
2020-11-15,487656.0
2020-11-16,528498.0
2020-11-17,646305.0
2020-11-18,635774.0
2020-11-19,649071.0
2020-11-20,645883.0
2020-11-21,564071.0
2020-11-22,471597.0
2020-11-23,526069.0
2020-11-24,591116.0
2020-11-25,646008.0
2020-11-26,597818.0
2020-11-27,595374.0
2020-11-28,544701.0
2020-11-29,468047.0
2020-11-30,523709.0
2020-12-01,624190.0
2020-12-02,662040.0
2020-12-03,672264.0
2020-12-04,665194.0
2020-12-05,588426.0
2020-12-06,504875.0
2020-12-07,553017.0
2020-12-08,660240.0
2020-12-09,678326.0
2020-12-10,670336.0
2020-12-11,692028.0
2020-12-12,608029.0
2020-12-13,501474.0
2020-12-14,588284.0
2020-12-15,642454.0
2020-12-16,733429.0
2020-12-17,731694.0
2020-12-18,688828.0
2020-12-19,591951.0
2020-12-20,518468.0
2020-12-21,577077.0
2020-12-22,659645.0
2020-12-23,676843.0
2020-12-24,557312.0
2020-12-25,436295.0
2020-12-26,430801.0
2020-12-27,445585.0
2020-12-28,536665.0
2020-12-29,669645.0
2020-12-30,697404.0
2020-12-31,611061.0
2021-01-01,527199.0
2021-01-02,530930.0
2021-01-03,525192.0
2021-01-04,593629.0
2021-01-05,718321.0
2021-01-06,714685.0
2021-01-07,732873.0
2021-01-08,727432.0
2021-01-09,619156.0
2021-01-10,544211.0
2021-01-11,591244.0
2021-01-12,657619.0
2021-01-13,667775.0
2021-01-14,647311.0
2021-01-15,647566.0
2021-01-16,550561.0
2021-01-17,477525.0
2021-01-18,504303.0
2021-01-19,551891.0
2021-01-20,584388.0
2021-01-21,567177.0
2021-01-22,560908.0
2021-01-23,466050.0
2021-01-24,388387.0
2021-01-25,447338.0
2021-01-26,500592.0
2021-01-27,522165.0
2021-01-28,494998.0
2021-01-29,491343.0
2021-01-30,407375.0
2021-01-31,339603.0
2021-02-01,383881.0
2021-02-02,427902.0
2021-02-03,416960.0
2021-02-04,425073.0
2021-02-05,398025.0
2021-02-06,337930.0
2021-02-07,293103.0
2021-02-08,309534.0
2021-02-09,350358.0
2021-02-10,359676.0
2021-02-11,353444.0
2021-02-12,339212.0
2021-02-13,297153.0
2021-02-14,241539.0
2021-02-15,263347.0
2021-02-16,300177.0
2021-02-17,317250.0
2021-02-18,322774.0
2021-02-19,323205.0
2021-02-20,286789.0
2021-02-21,250320.0
2021-02-22,280791.0
2021-02-23,335514.0
2021-02-24,347570.0
2021-02-25,341274.0
2021-02-26,337740.0
2021-02-27,303006.0
2021-02-28,250435.0
2021-03-01,280093.0
2021-03-02,333467.0
2021-03-03,347311.0
2021-03-04,354757.0
2021-03-05,346328.0
2021-03-06,307811.0
2021-03-07,263733.0
2021-03-08,294383.0
2021-03-09,349858.0
2021-03-10,379213.0
2021-03-11,377951.0
2021-03-12,382635.0
2021-03-13,343662.0
2021-03-14,299664.0
2021-03-15,327454.0
2021-03-16,411570.0
2021-03-17,447378.0
2021-03-18,452090.0
2021-03-19,442488.0
2021-03-20,412205.0
2021-03-21,348566.0
2021-03-22,396304.0
2021-03-23,463250.0
2021-03-24,537999.0
2021-03-25,527275.0
2021-03-26,518737.0
2021-03-27,478915.0
2021-03-28,402365.0
2021-03-29,443811.0
2021-03-30,537963.0
2021-03-31,593658.0
2021-04-01,574283.0
2021-04-02,536833.0
2021-04-03,503365.0
2021-04-04,483626.0
2021-04-05,499939.0
2021-04-06,577220.0
2021-04-07,636695.0
2021-04-08,730470.0
2021-04-09,676286.0
2021-04-10,633082.0
2021-04-11,550835.0
2021-04-12,623458.0
2021-04-13,721398.0
2021-04-14,743646.0
2021-04-15,746671.0
2021-04-16,765444.0
2021-04-17,715460.0
2021-04-18,641525.0
2021-04-19,701275.0
2021-04-20,809579.0
2021-04-21,834034.0
2021-04-22,833528.0
2021-04-23,801875.0
2021-04-24,737648.0
2021-04-25,646640.0
2021-04-26,726870.0
2021-04-27,801518.0
2021-04-28,815783.0
2021-04-29,819182.0
2021-04-30,779961.0
2021-05-01,690139.0
2021-05-02,621312.0
2021-05-03,698742.0
2021-05-04,777027.0
2021-05-05,778888.0
2021-05-06,753641.0
2021-05-07,744227.0
2021-05-08,663177.0
2021-05-09,571428.0
2021-05-10,633590.0
2021-05-11,680266.0
2021-05-12,656032.0
2021-05-13,627468.0
2021-05-14,585433.0
2021-05-15,534294.0
2021-05-16,479775.0
2021-05-17,529667.0
2021-05-18,583349.0
2021-05-19,566008.0
2021-05-20,557060.0
2021-05-21,530166.0
2021-05-22,462561.0
2021-05-23,400715.0
2021-05-24,446312.0
2021-05-25,468671.0
2021-05-26,473988.0
2021-05-27,455307.0
2021-05-28,432226.0
2021-05-29,387607.0
2021-05-30,323341.0
2021-05-31,374622.0
2021-06-01,386683.0
2021-06-02,389406.0
2021-06-03,375700.0
2021-06-04,357323.0
2021-06-05,310745.0
2021-06-06,257087.0
2021-06-07,310197.0
2021-06-08,343692.0
2021-06-09,348878.0
